TEXT,LABELS
"['It', 'is', 'always', 'convenient', 'to', 'place', 'at', 'least', 'two', '(', 'the', 'top', 'and', 'bottom', ')', 'circular', 'rings', 'and', 'then', 'fix', 'the', 'L-shaped', 'bars', 'as', 'anchor', 'bars', '.']","[0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0]"
"['Alternatively', 'a', 'base', 'plate', 'with', 'holes/bolts', 'can', 'be', 'fixed', 'at', 'this', 'stage', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"['Large', 'Ferro-Cement', 'Water', 'Tank', '–', 'UNHCR', ',', 'July', '2006', '-11-', 'Figure', 'Figure', '6', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Placement', 'of', 'Rebar', 'for', 'Base', 'Slab', '7', '.']","[0, 0, 1, 0, 0, 0, 0, 0]"
"['Casting', 'of', 'Concrete', 'Base', 'Slab', 'Step', '9', ':', 'Casting', 'the', 'Base', 'Slab', ':', 'After', 'fixing', 'the', 'rebar', 'for', 'slab', ',', 'the', 'central', 'column', 'and', 'the', 'peripheral', 'L-shaped', 'bars', ',', 'the', 'slab', 'can', 'be', 'concreted', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0]"
"['The', 'surface', 'should', 'be', 'levelled', 'properly', 'with', 'trowel', 'or', 'smooth', 'planks', '.']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
"['The', 'concrete', '(', '1:2:4', 'by', 'weight', ')', 'can', 'be', 'mixed', 'at', 'the', 'site', 'or', 'can', 'be', 'ordered', 'from', 'the', 'ready-mix', 'supplier', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Wall', 'Step', '10', ':', 'Erecting', 'Vertical', 'Reinforcement', 'and', 'Stiffeners', 'for', 'the', 'Wall', ':', 'As', 'the', 'water', 'pressure', 'decreases', 'with', 'height', ',', 'the', 'amount', 'of', 'reinforcement', 'required', 'also', 'varies', 'with', 'height', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Bars', 'can', 'be', 'spaced', 'tightly', 'at', 'the', 'lower', 'part', 'and', 'the', 'spacing', 'can', 'be', 'increased', 'with', 'height', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"['These', 'bars', 'are', 'fixed', 'with', 'tie', 'wire', 'to', 'the', 'L-shaped', 'base', 'bars', '.']","[0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]"
"['It', 'is', 'convenient', 'to', 'erect', 'a', 'few', 'bars', 'at', 'first', 'just', 'enough', 'to', 'hold', 'the', 'topmost', 'circular', 'ring', 'and', 'then', 'only', 'to', 'erect', 'the', 'remaining', 'vertical', 'bars', '.']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]"
"['The', 'top', 'and', 'bottom', 'rings', 'now', 'provide', 'the', 'anchorage', 'for', 'the', 'vertical', 'bars', '.']","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0]"
"['Eight', 'steel', 'channels', 'are', 'used', 'to', 'provide', 'additional', 'stiffness', 'to', 'the', 'wall', 'at', 'every', '45', 'degree', 'angle', '.']","[1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0]"
"['These', 'channels', 'are', 'placed', 'with', 'the', 'hollow', 'part', 'facing', 'inward', '(', 'ease', 'for', 'plastering', ')', '.']","[0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0]"
"['The', 'height', 'of', 'these', 'channels', 'will', 'be', 'equal', 'to', 'the', 'height', 'of', 'the', 'wall', '.']","[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]"
"['The', 'eight', 'shallow', 'roof', 'trusses', 'will', 'be', 'welded', 'with', 'these', 'channels', 'at', 'the', 'top', '.']","[0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0]"
"['Figure', '8', '.']","[1, 1, 0]"
"['Vertical', 'Reinforcement', 'and', 'Wall', the 'Stiffeners', 'Step', '11', ':', 'Keeping', 'Openings', 'for', the 'Construction', 'and', 'Pipe', 'Works', ':', 'A', 'temporary', 'access', 'opening', 'should', 'be', 'provided', 'for', 'the', 'movement', 'of', 'the', 'workers', 'in', 'and', 'out', 'of', 'the', 'tank', 'during', 'construction', '.']","[1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]"
"['(', 'This', 'is', 'assuming', 'we', 'would', 'go', 'with', 'the', 'recommendation', 'for', 'non-traffic', 'areas', 'given', 'that', 'the', 'pipes', 'would', 'be', 'trenched', 'in', 'field', 'areas', ',', 'where', 'there', 'is', 'little', 'foot', 'traffic', 'and', 'no', 'vehicular', 'traffic', ')', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
"['How', 'to', 'join', 'PVC', 'pipes', ':', 'First', 'check', 'how', 'tightly', 'the', 'pipes', 'fit', 'into', 'the', 'fittings', '(', 'the', 'pipes', 'should', 'be', 'able', 'to', 'enter', 'at', 'least', '⅓', 'of', 'the', 'way', 'into', 'the', 'fittings', ')', '.']","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"['If', 'they', 'are', 'a', 'bit', 'tight', ',', 'sanding', 'might', 'be', 'necessary', 'before', 'adding', 'solvent', 'cement', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]"
"['Before', 'adding', 'primer', 'and', 'cement', 'solvent', 'and', 'joining', 'the', 'pipes', ',', 'they', 'should', 'be', 'dry', 'and', 'clean', 'of', 'dust', '.']","[0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
"['Shake', 'the', 'can', 'of', 'solvent', 'cement', 'before', 'opening', '.']","[1, 0, 1, 0, 1, 1, 0, 0, 0]"
"['Using', 'a', 'paintbrush', 'or', 'similar', 'tool', 'add', 'a', 'layer', 'of', 'primer', 'to', 'the', 'outside', 'of', 'the', 'pipe', 'and', 'two', 'coats', 'inside', 'of', 'the', 'fitting', 'socket', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
"['Using', 'a', 'paintbrush', 'or', 'similar', 'tool', 'add', 'two', 'heavy', 'coats', 'of', 'cement', 'solvent', 'to', 'the', 'outside', 'of', 'the', 'pipe', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0]"
"['Add', 'a', 'medium', 'coat', 'to', 'the', 'inside', 'of', 'the', 'fitting/socket', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
"['The', 'size', 'of', 'the', 'opening', 'should', 'be', 'large', 'enough', 'for', 'one', 'person', 'to', 'enter', 'the', 'tank', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"['This', 'opening', 'will', 'be', 'plastered', 'at', 'the', 'end', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
"['Similarly', ',', 'openings', 'for', 'inlet', ',', 'outlet', ',', 'overflow', 'and', 'ventilation', 'pipes', 'are', 'required', 'at', 'this', 'stage', '.']","[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0]"
"['It', 'is', 'not', 'recommended', 'to', 'make', 'holes', 'when', 'plastering', 'has', 'been', 'completed', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"['If', 'any', 'other', 'fixings', 'are', 'required', 'they', 'should', 'be', 'added', 'at', 'this', 'stage', '.']","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
"['Large', 'Ferro-Cement', 'Water', 'Tank', '–', 'UNHCR', ',', 'July', '2006', '-12-', 'Figure', '9', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Temporary', 'Access', 'Figure', '10', '.']","[1, 1, 0, 0, 0]"
"['Inlet/Outlet', 'Opening', 'Figure', '11', '.']","[1, 0, 0, 0, 0]"
"['Overflow', 'Opening', 'Opening', 'Step', '12', ':', 'Fixing', 'the', 'Wire', '(', 'Chicken', ')', 'Mesh', '(', 'WM1', 'and', 'WM2', ')', ':', 'Chicken', 'mesh', 'comes', 'in', 'rolls', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"['Normally', 'two', 'layers', 'of', 'chicken', 'mesh', 'are', 'used', '.']","[0, 1, 1, 0, 1, 1, 0, 1, 0]"
"['The', 'mesh', 'is', 'wrapped', 'around', 'the', 'wall', 'reinforcement', 'and', 'fixed', 'with', 'tie', 'wire', 'at', 'a', 'few', 'locations', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"['It', 'is', 'convenient', 'to', 'start', 'from', 'the', 'bottom', 'and', 'move', 'upward', '.']","[0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0]"
"['About', '10', 'cm', 'of', 'overlapping', 'is', 'recommended', 'at', 'discontinuous', 'ends', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
"['Both', 'inner', 'and', 'outer', 'layers', 'should', 'be', 'placed', 'before', 'starting', 'the', 'plastering', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
"['Figure', '12', '.']","[0, 0, 0]"
"['Fixed', 'Wire', 'Mesh', 'Figure', '13', '.']","[0, 1, 1, 0, 0, 0]"
"['Fixing', 'of', 'Central', 'Column', 'Step', '13', ':', 'Preparation', 'and', 'Fixing', 'of', 'the', 'Central', 'Column', ':', 'There', 'are', 'several', 'options', 'for', 'the', 'selection', ',', 'preparation', ',', 'and', 'fixing', 'of', 'central', 'columns', '.']","[0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0]"
"['The', 'central', 'column', 'can', 'be', 'made', 'up', 'of', 'concrete', 'alone', ',', 'galvanized', 'iron', '(', 'GI', ')', 'pipe', 'filled', 'with', 'concrete', ',', 'a', 'GI', 'pipe', 'alone', ',', 'properly', 'painted', 'steel', 'pipe/tube', ',', 'or', 'ceramic', 'pipe', 'filled', 'with', 'mortar', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
"['Other', 'team', 'members', 'should', 'be', 'ready', 'to', 'help', 'push', 'the', 'pipe', 'and', 'socket', 'together', 'as', 'soon', 'as', 'the', 'cement', 'solvent', 'is', 'applied', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]"
"['Step', '17', ':', 'Placing', 'Roof', 'Reinforcements']","[0, 0, 0, 1, 1, 1]"
"['Might', 'be', 'good', 'to', 'practice', 'on', 'one', 'socket', 'and', 'joint', 'before', 'working', 'with', 'the', 'real', 'components', '.']","[0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
"['Note', ':', 'Doing', 'this', 'in', 'high', 'temperatures', '(', 'in', 'the', '100°Fs', ')', 'should', 'be', 'avoided', 'as', 'there', 'will', 'be', 'evaporation', 'of', 'the', 'solvent', 'in', 'the', 'process', '.']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]"
"['The', 'cement', 'needs', 'to', 'take', 'time', 'to', 'cure', 'before', 'placing', 'the', 'pipes', 'into', 'the', 'ground', '.']","[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]"
"['Recommended', 'times', 'for', 'cement', 'curing', ':', 'Note', ':', 'Same', 'PVC', 'should', 'be', 'used', 'throughout', ',', 'including', 'fittings', '.']","[1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]"
"['How', 'to', 'lay', 'piping', 'and', 'backfill', ':', 'The', 'pipe', 'should', 'be', 'assembled', 'above', 'ground', 'before', 'being', 'laid', 'in', 'place', '.']","[0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
"['At', 'curves', ',', 'the', 'pipe', 'should', 'be', 'assembled', 'on', 'the', 'outside', 'edge', 'of', 'the', 'curve', 'so', 'that', 'it', 'is', 'made', 'sure', 'it', 'is', 'long', 'enough', 'when', 'placed', 'in', 'the', 'trench', '.']","[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]"
"['The', 'main', 'considerations', 'for', 'selection', 'are', 'strength', ',', 'corrosion', 'protection', 'and', 'workability', '.']","[0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0]"
"['The', 'mortar', 'filling', 'of', 'the', 'pipe', 'or', 'tube', 'may', 'or', 'may', 'not', 'contain', 'the', 'reinforcement', '.']","[0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
"['NOTE', ':', 'Considering', 'several', 'factors', ',', 'it', 'is', 'strongly', 'recommended', 'to', 'finish', 'the', 'column', 'to', 'the', 'ready-to-fill', 'stage', 'before', 'erecting', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
"['The', 'dowel', 'bars', 'coming', 'out', 'of', 'the', 'base', 'slab', 'at', 'the', 'slab', 'centre', 'should', 'be', 'encased', 'by', 'the', 'bottom', 'end', 'of', 'the', 'pipe', '.']","[0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]"
"['If', 'required', ',', 'some', 'temporary', 'support', 'may', 'be', 'provided', '.']","[0, 1, 0, 0, 1, 1, 0, 0, 0, 0]"
"['The', 'plate', 'at', 'the', 'top', 'of', 'the', 'column', 'may', 'be', 'fixed', 'before', 'or', 'after', 'erection', '.']","[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"['It', 'is', 'generally', 'welded', 'with', 'the', 'column', 'rebar', 'at', 'top', '.']","[0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0]"
"['Step', '14', ':', 'Plastering', 'the', 'Wall', ':', 'Once', 'wall', 'reinforcement', 'and', 'central', 'column', 'erection', 'have', 'been', 'completed', ',', 'the', 'wall', 'is', 'ready', 'for', 'plastering', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0]"
"['The', 'first', 'step', 'for', 'plastering', 'is', 'the', 'preparation', 'of', 'the', 'mortar', '(', 'sand', 'and', 'cement', 'only', ',', 'ratio', '1:2', ')', 'with', 'a', 'workable', 'consistency', '(', 'limiting', 'water', 'cement', 'ratio', 'in', 'the', 'range', 'of', '0.35', 'to', '0.45', 'by', 'weight', 'gives', 'the', 'optimum', 'results', ',', 'and', 'helps', 'to', 'attain', 'low', 'porosity', 'of', 'the', 'mixture', ')', '.']","[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0]"
"['It', 'is', 'easier', 'to', 'work', 'the', 'inside', 'face', 'first', 'and', 'then', 'the', 'outer', 'face', '.']","[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]"
"['The', 'plaster', 'is', 'applied', 'by', 'the', mason', 'from', 'the', 'inside', ',', 'pushing', 'the', 'mortar', 'into', 'the', 'layers', 'of', 'mesh', ',', 'with', 'a', 'helper', 'holding', 'a', 'sheet', 'of', 'plywood/wooden', 'plank', 'on', 'the', 'corresponding', 'area', 'outside', '.']","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
"['Therefore', 'the', 'plastering', 'of', 'the', 'first', 'face', 'requires', 'at', 'least', 'two', 'persons', ',', 'one', 'to', 'hold', 'the', 'plywood/wooden', 'plank', 'at', 'outer', 'face', ',', 'and', 'a', 'mason', 'to', 'plaster', 'from', 'inside', '.']","[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]"
"['However', ',', 'once', 'one', 'face', 'has', 'been', 'completed', ',', 'the', 'already', 'completed', 'side', 'acts', 'as', 'a', 'wooden', 'plank', 'for', 'the', 'other', 'face', ',', 'thus', 'eliminating', 'the', 'need', 'for', 'temporary', 'support', 'on', 'the', 'opposite', 'face', '.']","[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0]"
"['Special', 'care', 'should', 'be', 'taken', 'while', 'plastering', 'around', 'the', 'edges', ',', 'rings', 'and', 'openings', 'so', 'as', 'to', 'avoid', 'leaks', 'in', 'the', 'future', '.']","[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
"['Figure', '14', '.']","[0, 0, 0]"
"['Check', 'the', 'bedding', 'for', 'its', 'soil', 'content', '.']","[0, 0, 1, 0, 0, 0, 0, 0]"
"['If', 'it', 'is', 'very', 'rocky', ',', 'or', 'has', 'soil', 'particles', 'greater', 'than', '½', 'inch', ',', 'large', 'rocks', 'should', 'be', 'removed', ',', 'and', '4-6', 'inches', 'of', 'fine-grained', 'soil', 'should', 'be', 'layered', 'on', 'and', 'hand-tamped', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
"['Testing', 'of', 'whether', 'the', 'joints', 'hold', 'should', 'be', 'done', 'before', 'backfilling', 'the', 'trenches', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
"['The', 'pump', 'should', 'be', 'turned', 'on', 'and', 'the', 'water', 'intake', 'slowly', 'increased', ',', 'until', 'reaching', 'the', 'maximum', 'efficiency', '(', 'at', 'which', 'the', 'pump', 'will', 'usually', 'run', ')', 'within', 'about', '15', 'minutes', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Check', 'whether', 'any', 'joints', 'have', 'slipped', 'or', 'if', 'there', 'is', 'leakage', 'at', 'any', 'joints', '.']","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
"['After', 'passing', 'testing', ',', 'the', 'team', 'can', 'begin', 'covering', 'the', 'pipes', 'with', 'backfill', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
"['Backfill', 'should', 'be', 'of', 'small', 'particles', 'about', '½', 'inch', 'or', 'smaller', '.']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"['Especially', 'for', 'the', 'first', 'few', 'layers', ',', 'the', 'soil', 'should', 'be', 'fine', ',', 'not', 'rocky', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['This', 'should', 'be', 'done', 'in', 'layers', 'with', 'hand', 'tamping', '(', '“', 'in', '2-inch', 'layers', 'to', 'at', 'least', '6', 'in', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"['Step', '5', ':', 'Preparation', 'of', 'Base', 'Slab', 'Reinforcement']","[0, 0, 0, 0, 0, 1, 1, 1]"
"['While', 'cutting', 'bars', 'for', 'the', 'trusses', ',', 'additional', 'lengths', 'are', 'required', 'to', 'facilitate', 'welding', 'with', 'the', 'C-channels', '.']","[0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
"['These', 'trusses', 'are', 'braced', 'laterally', 'by', 'similar', 'trusses', 'at', 'their', 'mid-length', ',', 'forming', 'an', 'octagon', '.']","[0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]"
"['If', 'the', 'welding', 'facility', 'is', 'difficult', 'to', 'mobilize', 'to', 'the', 'site', ',', 'a', 'simpler', 'method', 'like', 'nuts', 'and', 'bolts', 'or', 'other', 'hooking', 'mechanisms', 'can', 'substitute', 'the', 'welding', 'needs', '.']","[0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
"['Large', 'Ferro-Cement', 'Water', 'Tank', '–', 'UNHCR', ',', 'July', '2006', '-13-', 'Large', 'Ferro-Cement', 'Water', 'Tank', '–', 'UNHCR', ',', 'July', '2006', '-14-', 'Figure', '15', '.']","[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Step', '1', ':', 'Selection', 'of', 'Site']","[0, 0, 0, 1, 0, 1]"
"['Some', 'of', 'the', 'radial', 'bars', 'can', 'be', 'curtailed', 'at', 'mid-', 'length', 'along', 'the', 'roof', 'surface', '.']","[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0]"
"['The', 'portions', 'of', 'the', 'vertical', 'bars', 'extending', 'above', 'the', 'height', 'of', 'the', 'wall', 'are', 'bent', 'into', 'the', 'roof', '.']","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0]"
"['Step', '18', ':', 'Providing', 'Openings', 'in', 'the', 'Roof', ':', 'At', 'least', 'one', 'manhole', 'should', 'be', 'constructed', 'as', 'access', 'to', 'the', 'tank', '’', 's', 'interior', 'for', 'inspection', ',', 'cleaning', 'and', 'repair', 'purposes', '.']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]"
"['above', 'the', 'pipe', 'to', 'a', 'soil', 'bulk', 'density', 'of', 'at', 'least', '85', '%', 'of', 'the', 'undisturbed', 'sidewalls.', '”', ')', 'Thrust', 'Blockers', ':', 'If', 'we', 'have', 'any', 'sudden', 'changes', 'in', 'grade', 'or', 'turns', 'in', 'our', 'pipeline', ',', 'we', 'need', 'to', 'make', 'and', 'add', 'concrete', 'thrust', 'blocks', 'so', 'that', 'excess', 'thrust', 'doesn', '’', 't', 'cause', 'pipe', 'bursts', 'or', 'other', 'damages', '.']","[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]"
"['(', 'Pipe', 'manufacturer', 'might', 'have', 'recommendations', 'on', 'this', '.', ')']","[0, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
"['Anticipated', 'Challenges', ':', 'When', 'digging', 'the', 'trench', ',', 'the', 'subsoil', 'will', 'vary', ',', 'especially', 'near', 'tree', 'groves', 'or', 'other', 'groups', 'of', 'plants', '.']","[1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"['It', 'is', 'important', 'to', 'keep', 'the', 'trench', 'even', ',', 'stable', ',', 'and', 'flat', '.']","[0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0]"
"['There', 'should', 'never', 'be', 'sudden', 'raised/lowered', 'areas', 'in', 'the', 'trench', 'because', 'that', 'will', 'result', 'in', 'the', 'pipe', 'being', 'insufficiently', 'supported', 'by', 'the', 'ground', '.']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0]"
"['When', 'pipes', 'are', 'exposed', 'to', 'high', 'heat', ',', 'they', 'will', 'contract', '.']","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
"['This', 'means', 'that', 'it', 'is', 'important', 'to', 'cool', 'a', 'pipe', 'before', 'fitting', 'it', 'to', 'its', 'socket', '.']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0]"
"['Make', 'sure', 'pipes', 'are', 'kept', 'in', 'a', 'cool', 'place', 'before', 'assembly', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
"['An', 'additional', 'hole', 'may', 'be', 'constructed', 'for', 'fixing', 'inlet', 'or', 'ventilation', 'pipes', '.']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0]"
"['An', 'additional', 'bar', 'of', '9mm', 'can', 'be', 'placed', 'along', 'the', 'perimeter', 'of', 'the', 'opening', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
